Date,Logo,Company,Software / Title,Speaker
24.09.2024 09:00,ThinoTerrain SAS Logo,RhinoTerrain,Generating vectorized 3D Building models up to LOD3,"Frédéric Thomas, CEO"
24.09.2024 10:00,Trimble,Trimble Inpho – New level of accuracy and performance,"Barbara Quedenfeldt, Doris Dörsam, Stilla Dunkel, Sr. Support & Consulting Engineers",
24.09.2024 11:00,ESRI,Stereo Mapping in ArcGIS Pro,"Kristin Klimek, Senior Solution Engineer, ESRI R&D Center in Stuttgart",
24.09.2024 12:00,FARO,,,
24.09.2024 13:00,Trimble,Trimble Inpho – New level of accuracy and performance,"Sr. Support & Consulting Engineers Barbara Quedenfeldt, Doris Dörsam, Stilla Dunkel",
24.09.2024 14:00,ESRI,Stereo Mapping in ArcGIS Pro,"Florian Fischer, Solution Engineer",
24.09.2024 15:00,Hexagon,Leica CYClone 3DR,"Yannick Stenger, Product Manager Cyclone 3DR",
24.09.2024 16:00,ThinoTerrain SAS Logo,RhinoTerrain,Generating vectorized 3D Building models up to LOD3,"Frédéric Thomas, CEO"
24.09.2024 17:00,ThinoTerrain SAS Logo,RhinoTerrain,Generating vectorized 3D Building models up to LOD3,"Frédéric Thomas, CEO"
25.09.2024 09:00,ThinoTerrain SAS Logo,RhinoTerrain,Generating vectorized 3D Building models up to LOD3,"Frédéric Thomas, CEO"
25.09.2024 10:00,Trimble,TBC Photogrammetry – Fly-to-finish within one survey package,"Thomas Widmer, Sr. Product Manager Photogrammetry",
25.09.2024 11:00,ESRI,Stereo Mapping in ArcGIS Pro,"Kristin Klimek, Senior Solution Engineer, ESRI R&D Center in Stuttgart",
25.09.2024 12:00,Hexagon,Leica CYClone 3DR,"Yannick Stenger, Product Manager Cyclone 3DR",
25.09.2024 13:00,Trimble,Trimble Inpho – New level of accuracy and performance,"Barbara Quedenfeldt, Doris Dörsam, Stilla Dunkel, Sr. Support & Consulting Engineers",
25.09.2024 14:00,ESRI,Stereo Mapping in ArcGIS Pro,"Florian Fischer, Solution Engineer, ESRI R&D Center in Stuttgart",
25.09.2024 15:00,Hexagon,Leica CYClone 3DR,"Yannick Stenger, Product Manager Cyclone 3DR",
25.09.2024 16:00,FARO,,,
25.09.2024 17:00,ThinoTerrain SAS Logo,RhinoTerrain,Generating vectorized 3D Building models up to LOD3,"Frédéric Thomas, CEO"
26.09.2024 09:00,ThinoTerrain SAS Logo,RhinoTerrain,Generating vectorized 3D Building models up to LOD3,"Frédéric Thomas, CEO"
26.09.2024 10:00,Trimble,Trimble Inpho – New level of accuracy and performance,"Barbara Quedenfeldt, Doris Dörsam, Stilla Dunkel",
26.09.2024 10:00,Zoller & Fröhlich,,"Rebecca Pfeifer, Technische Mitarbeiterin / Laser Support",
26.09.2024 11:00,ESRI,Stereo Mapping in ArcGIS Pro,"Kristin Klimek, Senior Solution Engineer, ESRI R&D Center in Stuttgart",
26.09.2024 12:00,Hexagon,Leica CYClone 3DR,"Yannick Stenger, Product Manager Cyclone 3DR",
26.09.2024 13:00,Trimble,TBC Photogrammetry – Fly-to-finish within one survey package,"Thomas Widmer, Sr. Product Manager Photogrammetry",
26.09.2024 14:00,ESRI,Stereo Mapping in ArcGIS Pro,"Florian Fischer, Solution Engineer, ESRI R&D Center in Stuttgart",
26.09.2024 15:00,FARO,,,
26.09.2024 16:00,ThinoTerrain SAS Logo,RhinoTerrain,Generating vectorized 3D Building models up to LOD3,"Frédéric Thomas, CEO"
